treatment,store_id,sale,customer_id
1,1,95.496437,1
1,1,66.05352,2
1,1,82.490273,3
1,1,81.939018,4
1,1,77.757187,5
1,1,66.196465,6
1,1,78.258141,7
1,1,80.726715,8
1,1,49.204475,9
1,1,73.770874,10
1,1,87.738655,11
1,1,50.665249,12
1,1,72.420471,13
1,1,45.940365,14
1,1,62.573452,15
1,1,69.351654,16
1,1,86.458275,17
1,1,71.014267,18
1,1,64.777382,19
1,1,86.137314,20
1,1,68.713394,21
1,1,83.505104,22
1,1,84.448441,23
1,1,91.377785,24
1,1,74.165459,25
1,1,49.581425,26
1,1,57.034477,27
1,1,70.360237,28
1,1,58.336048,29
1,1,68.291855,30
1,1,45.822334,31
1,1,70.986031,32
1,1,40.472912,33
1,1,46.140186,34
1,1,73.982758,35
1,1,68.047752,36
1,1,69.666855,37
1,1,86.982895,38
1,1,87.674004,39
1,1,86.324242,40
1,1,80.323402,41
1,1,44.904732,42
1,1,100.51176,43
1,1,54.816868,44
1,1,71.49295,45
1,1,54.171829,46
1,1,45.266567,47
1,1,70.354012,48
1,1,83.608902,49
1,1,76.856781,50
1,1,77.242973,51
1,1,72.140289,52
1,1,62.147972,53
1,1,90.541367,54
1,1,64.494568,55
1,1,76.144844,56
1,1,47.706558,57
1,1,64.425827,58
1,1,66.173248,59
1,1,112.01249,60
1,1,68.787163,61
1,1,64.228317,62
1,1,71.101517,63
1,1,63.504166,64
1,1,64.736824,65
1,1,67.153122,66
1,1,67.09243,67
1,1,74.841408,68
1,1,67.702332,69
1,1,72.532646,70
1,1,46.367558,71
1,1,36.284492,72
1,1,56.142868,73
1,1,70.400734,74
1,1,60.39175,75
1,1,71.39621,76
1,1,62.87505,77
1,1,61.896862,78
1,1,64.564896,79
1,1,83.992775,80
1,1,77.528725,81
1,1,46.70438,82
1,1,89.168869,83
1,1,76.358467,84
1,1,87.089699,85
1,1,49.574703,86
1,1,68.727089,87
1,1,97.294853,88
1,1,47.304451,89
1,1,61.191223,90
1,1,70.074013,91
1,1,88.933769,92
1,1,41.967926,93
1,1,65.156654,94
1,1,69.207184,95
1,1,55.733986,96
1,1,78.879547,97
1,1,85.422462,98
1,1,45.221783,99
1,1,75.924454,100
1,1,60.518066,101
1,1,90.422661,102
1,1,36.082844,103
1,1,82.752045,104
1,1,82.904549,105
1,1,53.692169,106
1,1,80.196442,107
1,1,75.416122,108
1,1,76.80732,109
1,1,72.288544,110
1,1,93.419662,111
1,1,42.703556,112
1,1,52.0434,113
1,1,44.552006,114
1,1,73.012291,115
1,1,61.671288,116
1,1,60.06638,117
1,1,77.526237,118
1,1,52.904865,119
1,1,83.106224,120
1,1,54.125362,121
1,1,64.083107,122
1,1,73.572769,123
1,1,66.523758,124
1,1,75.233917,125
1,1,69.736244,126
1,1,79.774582,127
1,1,91.356728,128
1,1,46.992355,129
1,1,63.52335,130
1,1,43.800842,131
1,1,90.028709,132
1,1,63.803017,133
1,1,76.358231,134
1,1,54.410408,135
1,1,74.741333,136
1,1,93.81926,137
1,1,88.389091,138
1,1,76.26609,139
1,1,43.324574,140
1,1,81.224739,141
1,1,72.894768,142
1,1,43.458073,143
1,1,71.912758,144
1,1,81.365829,145
1,1,91.647057,146
1,1,33.940685,147
1,1,87.930054,148
1,1,69.418274,149
1,1,21.806681,150
1,1,49.642525,151
1,1,46.068314,152
1,1,73.670242,153
1,1,74.042137,154
1,1,89.515038,155
1,1,54.438087,156
1,1,72.691139,157
1,1,66.206093,158
1,1,71.946114,159
1,1,68.924652,160
1,1,60.24575,161
1,1,81.394783,162
1,1,73.678841,163
1,1,48.825195,164
1,1,63.352055,165
1,1,84.458473,166
1,1,105.4803,167
1,1,62.101078,168
1,1,44.438812,169
1,1,74.055557,170
1,1,62.887985,171
1,1,102.28511,172
1,1,63.925076,173
1,1,64.105827,174
1,1,65.641838,175
1,1,87.964386,176
1,1,68.345619,177
1,1,85.477905,178
1,1,72.849236,179
1,1,66.715546,180
1,1,78.595497,181
1,1,69.494263,182
1,1,79.451134,183
1,1,75.562172,184
1,1,90.262161,185
1,1,52.712929,186
1,1,67.410614,187
1,1,49.861401,188
1,1,43.531162,189
1,1,83.996651,190
1,1,68.671082,191
1,1,69.890739,192
1,1,76.39666,193
1,1,57.992325,194
1,1,58.149921,195
1,1,59.353218,196
1,1,60.080421,197
1,1,54.748833,198
1,1,40.463535,199
1,1,47.362583,200
1,1,67.029701,201
1,1,50.441643,202
1,1,43.177406,203
1,1,91.503716,204
1,1,82.690071,205
1,1,57.101543,206
1,1,66.906944,207
1,1,78.271896,208
1,1,72.586548,209
1,1,52.876019,210
1,1,68.603119,211
1,1,80.157822,212
1,1,47.252457,213
1,1,73.134476,214
1,1,74.013489,215
1,1,71.401154,216
1,1,84.989868,217
1,1,84.147606,218
1,1,38.787571,219
1,1,50.692074,220
1,1,88.907555,221
1,1,77.529938,222
1,1,61.649597,223
1,1,50.205265,224
1,1,71.796509,225
1,1,69.840172,226
1,1,83.056297,227
1,1,66.359032,228
1,1,52.722767,229
1,1,63.537571,230
1,1,58.478977,231
1,1,57.231239,232
1,1,68.143456,233
1,1,111.4281,234
1,1,77.684097,235
1,1,95.305428,236
1,1,73.38044,237
1,1,52.871536,238
1,1,45.553696,239
1,1,96.621231,240
1,1,71.019753,241
1,1,69.261024,242
1,1,68.571739,243
1,1,92.4198,244
1,1,57.594711,245
1,1,57.601517,246
1,1,64.484261,247
1,1,52.387463,248
1,1,66.874352,249
1,1,85.378723,250
1,1,92.755547,251
1,1,90.906433,252
1,1,63.360237,253
1,1,87.650169,254
1,1,80.400024,255
1,1,83.902611,256
1,1,75.530029,257
1,1,50.40049,258
1,1,66.974449,259
1,1,51.12812,260
1,1,48.52179,261
1,1,86.440781,262
1,1,64.552681,263
1,1,79.514626,264
1,1,58.05864,265
1,1,79.202919,266
1,1,51.020191,267
1,1,61.50404,268
1,1,57.499184,269
1,1,56.474087,270
1,1,63.231625,271
1,1,51.022522,272
1,1,63.925976,273
1,1,65.804146,274
1,1,68.713936,275
1,1,55.024139,276
1,1,72.155289,277
1,1,80.439034,278
1,1,84.249397,279
1,1,87.25428,280
1,1,78.184959,281
1,1,52.764126,282
1,1,84.107643,283
1,1,67.875374,284
1,1,79.071335,285
1,1,63.358582,286
1,1,64.651436,287
1,1,76.61467,288
1,1,87.09227,289
1,1,46.425064,290
1,1,56.449406,291
1,1,64.257347,292
1,1,61.890285,293
1,1,73.727211,294
1,1,80.141632,295
1,1,77.006371,296
1,1,113.11475,297
1,1,81.423203,298
1,1,62.728207,299
1,1,78.957901,300
1,1,91.363472,301
1,1,91.397476,302
1,1,50.857769,303
1,1,62.662727,304
1,1,81.912102,305
1,1,88.651978,306
1,1,38.164715,307
1,1,75.504196,308
1,1,61.357788,309
1,1,73.518929,310
1,1,56.194759,311
1,1,82.673508,312
1,1,57.705906,313
1,1,62.771614,314
1,1,64.087029,315
1,1,59.752121,316
1,1,89.688034,317
1,1,51.406673,318
1,1,84.833527,319
1,1,66.075394,320
1,1,104.13769,321
1,1,81.066856,322
1,1,60.965176,323
1,1,93.342422,324
1,1,102.40005,325
1,1,78.992432,326
1,1,88.01413,327
1,1,64.560112,328
1,1,73.761383,329
1,1,58.377949,330
1,1,61.353848,331
1,1,85.245964,332
1,1,78.207687,333
1,1,71.225105,334
1,1,56.083073,335
1,1,71.368561,336
1,1,60.896019,337
1,1,55.883671,338
1,1,82.584923,339
1,1,33.795795,340
1,1,77.086647,341
1,1,59.288616,342
1,1,87.377342,343
1,1,85.234512,344
1,1,73.857239,345
1,1,71.431,346
1,1,62.402622,347
1,1,54.609158,348
1,1,70.20697,349
1,1,78.871086,350
1,1,61.508598,351
1,1,71.001579,352
1,1,73.243057,353
1,1,88.447273,354
1,1,70.674828,355
1,1,70.472748,356
1,1,63.790031,357
1,1,109.69252,358
1,1,91.598602,359
1,1,66.636063,360
1,1,86.234238,361
1,1,109.77565,362
1,1,62.005314,363
1,1,84.54425,364
1,1,81.33876,365
1,1,73.28521,366
1,1,65.436127,367
1,1,77.666313,368
1,1,63.199516,369
1,1,75.410477,370
1,1,57.394955,371
1,1,61.86256,372
1,1,77.247711,373
1,1,92.606369,374
1,1,54.078377,375
1,1,62.439442,376
1,1,68.11042,377
1,1,79.218468,378
1,1,86.630722,379
1,1,78.47364,380
1,1,72.989388,381
1,1,86.129738,382
1,1,69.769989,383
1,1,50.523319,384
1,1,58.144112,385
1,1,65.026138,386
1,1,60.457233,387
1,1,60.495632,388
1,1,71.083961,389
1,1,67.740318,390
1,1,77.880859,391
1,1,56.134941,392
1,1,80.863533,393
1,1,70.323845,394
1,1,80.546211,395
1,1,87.98436,396
1,1,73.804573,397
1,1,56.090309,398
1,1,65.321754,399
1,1,71.473305,400
1,1,42.067867,401
1,1,62.925247,402
1,1,77.215195,403
1,1,60.80162,404
1,1,60.438187,405
1,1,31.812984,406
1,1,57.175648,407
1,1,91.925789,408
1,1,71.654816,409
1,1,54.359108,410
1,1,88.110825,411
1,1,47.787506,412
1,1,64.413544,413
1,1,61.290089,414
1,1,77.981873,415
1,1,56.415977,416
1,1,50.205654,417
1,1,75.665588,418
1,1,45.45446,419
1,1,43.665062,420
1,1,77.688538,421
1,1,93.652679,422
1,1,63.265656,423
1,1,67.774765,424
1,1,67.438789,425
1,1,40.673512,426
1,1,52.701,427
1,1,77.29509,428
1,1,47.614441,429
1,1,52.957993,430
1,1,73.00882,431
1,1,46.491756,432
1,1,97.710068,433
1,1,80.328201,434
1,1,76.97422,435
1,1,42.3554,436
1,1,71.727951,437
1,1,56.094803,438
1,1,58.557205,439
1,1,64.222221,440
1,1,76.4627,441
1,1,70.680168,442
1,1,72.128052,443
1,1,76.753593,444
1,1,68.089539,445
1,1,52.926456,446
1,1,72.365562,447
1,1,52.709461,448
1,1,69.116562,449
1,1,91.09626,450
1,1,65.983315,451
1,1,85.782097,452
1,1,76.594795,453
1,1,59.579319,454
1,1,74.546219,455
1,1,57.281326,456
1,1,55.542049,457
1,1,87.717079,458
1,1,101.96713,459
1,1,65.227608,460
1,1,87.276863,461
1,1,53.875191,462
1,1,99.315506,463
1,1,60.172523,464
1,1,80.397667,465
1,1,53.771923,466
1,1,60.161884,467
1,1,76.541,468
1,1,34.432533,469
1,1,43.398842,470
1,1,80.090889,471
1,1,62.755795,472
1,1,56.167744,473
1,1,71.719429,474
1,1,81.904648,475
1,1,65.013466,476
1,1,73.47966,477
1,1,66.125572,478
1,1,84.46492,479
1,1,57.177258,480
