id,month,rating,treat
75,4,5,0
75,6,5,1
75,6,4,0
75,10,4,0
75,10,5,0
75,11,4,0
75,13,5,1
75,13,4,0
75,13,4,1
75,13,3,0
75,13,3,0
75,14,3,1
75,14,3,0
75,16,4,0
75,17,5,1
75,18,3,0
75,19,4,0
75,19,3,0
75,19,3,1
75,20,4,0
75,21,4,0
75,21,4,0
75,23,4,0
79,1,4,1
79,1,5,1
79,1,5,1
79,2,5,1
79,2,2,1
79,3,4,1
79,3,4,1
79,3,3,1
79,3,1,1
79,4,4,1
79,6,4,1
79,10,1,1
79,10,3,1
79,12,3,1
79,12,3,1
79,12,5,0
79,12,3,1
79,13,5,1
79,13,4,1
79,13,3,0
79,14,4,1
79,15,5,0
79,17,4,0
79,18,3,1
79,19,3,1
79,19,5,0
79,20,5,0
79,20,4,1
79,22,4,1
79,22,4,0
79,23,4,0
81,2,4,0
81,3,4,0
81,7,4,0
81,8,3,0
81,9,2,0
81,9,3,0
81,9,3,0
81,10,2,0
81,11,4,0
81,14,3,0
81,15,2,0
81,16,3,0
81,17,4,0
81,17,4,0
81,18,5,1
81,18,4,1
81,19,4,1
81,19,3,0
81,19,2,0
81,19,5,1
81,19,3,0
81,19,3,0
81,20,4,0
81,20,4,0
81,21,4,0
81,22,4,0
81,22,4,0
81,22,2,0
81,22,4,0
81,22,4,0
81,23,3,0
81,23,5,1
81,23,5,1
81,23,3,0
81,24,2,0
101,2,4,0
101,5,5,0
101,10,4,0
101,10,4,0
101,11,5,1
101,14,4,0
101,14,4,0
101,15,5,0
101,16,4,0
101,18,4,0
101,20,4,0
101,21,3,0
101,21,5,0
101,21,4,0
101,23,4,0
101,24,5,0
124,1,4,1
124,1,3,1
124,1,5,1
124,2,4,1
124,2,4,0
124,3,3,1
124,3,2,1
124,3,3,1
124,4,1,0
124,4,3,1
124,4,5,0
124,4,4,1
124,4,4,1
124,5,1,1
124,5,5,0
124,6,4,0
124,6,5,0
124,6,4,0
124,7,2,1
124,7,5,1
124,7,2,0
124,8,4,1
124,8,5,1
124,10,3,0
124,11,4,0
124,12,2,0
124,12,2,0
124,12,3,0
124,13,2,0
124,13,5,1
124,13,3,1
124,14,2,0
124,17,5,0
124,17,3,0
124,18,3,0
124,18,5,0
124,19,5,0
124,19,4,0
124,19,4,0
124,19,4,0
124,20,4,0
124,20,4,0
124,21,5,0
124,21,1,0
124,21,5,0
124,21,5,0
124,21,5,0
124,21,5,0
124,22,2,0
124,22,5,0
124,22,4,0
124,22,5,0
124,23,3,0
124,23,1,0
124,23,4,0
124,23,3,0
124,23,4,0
124,24,5,0
157,4,4,0
157,7,2,0
157,11,1,0
157,20,4,0
157,22,5,0
157,24,3,0
174,1,5,1
174,1,4,1
174,1,5,1
174,1,3,1
174,2,3,1
174,2,3,0
174,2,2,1
174,3,3,0
174,3,4,0
174,3,4,1
174,5,4,0
174,5,4,1
174,6,4,0
174,6,4,1
174,6,4,0
174,6,4,0
174,6,5,0
174,7,3,0
174,7,4,0
174,7,4,1
174,7,5,0
174,8,4,0
174,8,5,0
174,8,4,0
174,9,3,0
174,9,4,0
